strategy,profit,start,end
Strategy1,2.71,2017-01-01,2019-12-01
Strategy2,1.48,2017-01-01,2019-12-01
Strategy3,2.94,2017-01-01,2019-12-01
Strategy4,3.18,2017-01-01,2019-12-01
Strategy5,3.05,2017-01-01,2019-12-01
