strategy,profit,start,end
StrategyBase_EMASMA_CROSS,0.0,2000-01-01,2019-12-01
StrategyBase_EMA_CROSS,0.32,2000-01-01,2019-12-01
StrategyBase_EMA,-3.34,2000-01-01,2019-12-01
StrategyBase_SMA,-2.08,2000-01-01,2019-12-01
StrategyBase_WADDAH,-4.02,2000-01-01,2019-12-01
StrategyBase_KIJUNSEN,-1.81,2000-01-01,2019-12-01
StrategyBase_ASH,-6.54,2000-01-01,2019-12-01
StrategyBase_SSL,-6.52,2000-01-01,2019-12-01
