strategy,profit,start,end
Strategy3,1.13,2000-01-01,2019-12-01
Strategy5,-0.28,2000-01-01,2019-12-01
Strategy6,3.69,2000-01-01,2019-12-01
Strategy7,3.49,2000-01-01,2019-12-01
