strategy,profit,start,end
Strategy1,1.34,2017-01-01,2019-12-01
Strategy2,1.06,2017-01-01,2019-12-01
Strategy3,1.97,2017-01-01,2019-12-01
Strategy4,1.58,2017-01-01,2019-12-01
Strategy5,1.89,2017-01-01,2019-12-01
