strategy,profit,start,end
Strategy1,0.78,2017-01-01,2019-12-01
Strategy2,0.8,2017-01-01,2019-12-01
Strategy3,1.04,2017-01-01,2019-12-01
Strategy4,0.11,2017-01-01,2019-12-01
Strategy5,0.99,2017-01-01,2019-12-01
