strategy,profit,start,end
Strategy1,1.4,2017-01-01,2019-12-01
Strategy2,1.01,2017-01-01,2019-12-01
Strategy3,2.34,2017-01-01,2019-12-01
Strategy4,1.71,2017-01-01,2019-12-01
Strategy5,2.57,2017-01-01,2019-12-01
