Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Baker Technology,BTP,BATE.SI,78.108,65.723,3.08,,Energy - Fossil Fuels,81
Ban Leong,B26,BANL.SI,29.125,157.614,8.15,6,Technology Equipment,63
Banyan Tree,B58,BANY.SI,370.201,295.438,,2.27,Cyclical Consumer Services,87
BBR,KJ5,BBRS.SI,49.031,95.842,,2.65,Industrial & Commercial Services,60
Beng Kuang,BEZ,BENK.SI,5.4,52.122,,,Industrial & Commercial Services,44
Berlian LajuTank,B66,BLTA.JK,1296271.25,313798.875,177.83,,Transportation,28
Best World,CGN,BEST.SI,753.973,359.529,7.85,2.79,Personal & Household Products & Services,55
BH Global,BQN,BHGC.SI,21.3,44.947,,,Industrial Goods,57
BHG Retail Reit,BMGU,BHGR.SI,355.206,72.578,6.55,6.43,Real Estate,84.5
Biolidics,8YY,BIOL.SI,65.475,1.638,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,10.047,6.893,,,Energy - Fossil Fuels,46
Blumont,A33,BLUM.SI,27.571,3.838,,,Industrial & Commercial Services,29
BMM,I9T,BMMO.SI,3.706,,,,Chemicals,33
Boldtek,5VI,BOLD.SI,20.048,78.778,24.55,,Real Estate,69
Bonvests,B28,BVHS.SI,473.79,223.323,89.39,1.36,Cyclical Consumer Services,53
Boustead,F9D,BTSS.SI,387.552,492.816,14.15,3.87,Industrial & Commercial Services,64
Boustead Proj,AVM,BOUS.SI,302.4,247.884,11.66,1.59,Industrial & Commercial Services,58
BRC Asia,BEC,BRCA.SI,326.597,890.73,8.88,,Cyclical Consumer Products,57
BreadTalk,CTN,BRET.SI,310.083,633.388,28.32,2.73,Cyclical Consumer Services,
Broadway Ind,B69,BRWY.SI,21.236,325.382,,,Industrial Goods,37
Brook Crompton,AWC,BROO.SI,31.558,47.964,6.4,2.25,Industrial Goods,53
Bukit Sembawang,B61,BSES.SI,1263.487,397.5,12.67,0.82,Real Estate,67
Bumitama Agri,P8Z,BUMI.SI,1091.332,734.642,14.83,3.84,Food & Beverages,52
Bund Center,BTE,BCIL.SI,403.06,113.358,15,4.15,Real Estate,49
C&G Env Protect,D79,CGEP.SI,1.956,0,,,Cyclical Consumer Products,43
Cache Log Trust,K2LU,CALT.SI,759.187,117.341,46.82,7,Real Estate,70.3
Cacola,D2U,CACF.SI,1.821,13.319,,,Cyclical Consumer Products,12
Camsing Hc,BAC,CAMS.SI,32.1,12.958,,,Retailers,41
CapitaCom Trust,C61U,CACT.SI,7638.218,403.576,18.56,3.73,Real Estate,95.7
Capital World,1D5,CAPI.SI,20.178,46.438,,,Real Estate,57
CapitaLand,C31,CATL.SI,19005.6,5483.295,10.02,3.24,Real Estate,118
CapitaMall Trust,C38U,CMLT.SI,9111.346,763.836,15.63,3.74,Real Estate,102.1
CapitaR China Tr,AU8U,CRCT.SI,1843.993,226.364,9.61,6.73,Real Estate,84.9
Captii,AWV,CAPT.SI,12.783,29.614,3.91,3.13,Telecommunications Services,60
Casa,C04,CASA.SI,10.072,21.205,14.86,,Cyclical Consumer Products,29
CDL HTrust,J85,CDLT.SI,1915.882,195.177,21.55,5.14,Real Estate,86.7
CDW,BXE,CDWH.SI,45.435,129.118,601.34,8.36,Technology Equipment,64
CEI,AVV,CEII.SI,83.537,,,1.52,Technology Equipment,60
Centurion,OU8,CNCL.SI,357.672,123.786,4.55,4.71,Real Estate,78
CFM,5EB,CFMH.SI,3.426,20.308,11.81,,Industrial Goods,52
CH Offshore,C13,CHOF.SI,35.994,19.843,,,Energy - Fossil Fuels,72
Challenger,573,CHAL.SI,181.234,330.471,9.91,5.9,Retailers,64
Charisma Energy,5QT,CHAR.SI,26.358,17.518,,,Utilities,57
Chasen,5NV,CHHL.SI,30.721,128.593,7.33,5.06,Transportation,49
ChasWood Res,5TW,CHAS.SI,2.263,1.009,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,54.681,68.82,5.12,2.08,Chemicals,35
Cheung Woh,C50,CHWO.SI,48.261,57.679,,0.97,Industrial Goods,40
China Aviation,G92,CNAO.SI,1066.424,26719.305,7.99,3.66,Energy - Fossil Fuels,82
China Env,5OU,CHEN.SI,31.144,30.992,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,185.325,233.024,,,Industrial & Commercial Services,
China Essence,G54,CEGL.SI,5.248,0,,,Food & Beverages,27
China Everbright,U9E,CEWL.SI,1846.021,851.267,6.92,3.54,Utilities,55
China Fishery,B0Z,CNFG.SI,271.489,664.103,,,Food & Beverages,45
China Gaoxian,AZZ,CGXF.SI,0.342,0,,,Cyclical Consumer Products,44
China Great Land,D50,CHIG.SI,1.352,0,,,Cyclical Consumer Products,26
China Haida,C92,CHHA.SI,1.021,43.714,,,Mineral Resources,41
China Hongxing,BR9,CHXS.SI,344.997,0,,2.08,Cyclical Consumer Products,22
China Intl,BEH,CHNA.SI,28.534,15.365,,,Industrial & Commercial Services,45
China Jinjiang,BWM,CJEH.SI,873.647,627.551,7.84,8.5,Industrial & Commercial Services,68
China Jishan,J18,CJIS.SI,47.402,7.332,18.92,12.29,Cyclical Consumer Products,42
China Mining,BHD,CMIL.SI,12.34,2.941,,,Real Estate,57
China Paper,C71,CPHL.SI,43.897,141.798,,,Applied Resources,26
China Real Estate,5RA,CHIR.SI,35.648,,,,Personal & Household Products & Services,46
China Sky Chem,E90,CSKY.SI,24.183,308.973,,,Cyclical Consumer Products,12
China Sports,FQ8,CSIL.SI,12.798,50.146,,,Cyclical Consumer Products,44
China Star Food,42W,CHIA.SI,17.245,72.919,2.76,,Cyclical Consumer Products,66
China Sunsine,CH8,CHSN.SI,512.084,551.198,5.78,5.29,Chemicals,68
China Taisan,AZW,CTTG.SI,1.556,23.037,,,Cyclical Consumer Products,28
China Yuanbang,BCD,CYBP.SI,20.154,377.805,1.18,,Real Estate,58
ChinaKangdaFood,P74,0834.HK,299.008,1567.423,61.94,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,3.69,7.342,,,Automobiles & Auto Parts,68
Chinese Global,5CJ,CHGI.SI,9.16,11.659,,,Industrial & Commercial Services,52
Chip Eng Seng,C29,CESE.SI,498.531,1079.82,7.46,6.61,Real Estate,58
Choo Chiang,42E,CHOO.SI,64.48,63.439,13.47,2.9,Industrial Goods,40
Chuan Hup,C33,CHHS.SI,222.998,24.904,,4.17,Real Estate,66
Citic Envirotech,CEE,CITI.SI,1301.313,645.303,,2.34,Industrial & Commercial Services,58
Citicode,5FH,CITC.SI,41.317,23.008,,,Mineral Resources,-5
CityDev,C09,CTDM.SI,9702.245,3401.721,16.35,1.31,Real Estate,110
Civmec,P9D,CIVM.SI,185.303,455.067,32.73,1.89,Industrial & Commercial Services,68
Clearbridge,1H3,CLEA.SI,81.015,11.155,,,Healthcare Services,
CNA,5GC,CNGR.SI,14.886,30.184,,,Industrial & Commercial Services,35
CNMC Goldmine,5TP,CNMC.SI,108.142,60.631,21.43,0.75,Mineral Resources,68
Colex,567,COLX.SI,23.987,68.011,9.49,3.04,Industrial & Commercial Services,50
Combine Will,N0Z,CWIHx.SI,35.254,303.655,2.87,4.59,Cyclical Consumer Products,59
ComfortDelGro,C52,CMDG.SI,5177.765,3913.4,16.8,4.46,Transportation,100
Cordlife,P8A,CORD.SI,120.386,69.846,30.86,1.78,Healthcare Services,48
Cortina,C41,CORT.SI,240.089,481.854,7.36,1.38,Retailers,63
COSCO SHP SG,F83,COSC.SI,671.773,163.203,54.45,,Transportation,55
CosmoSteel,B9S,COSM.SI,23.522,89.74,,,Mineral Resources,67
Courage Inv,CIN,1145.HK,115.312,119.853,4.14,,Transportation,
CPH,539,CIPH.SI,4.922,0,,,Technology Equipment,54
Creative,C76,CREA.SI,233.473,74.801,,,Technology Equipment,58
CromwellReit EUR,CNNU,CROM.SI,1283.973,144.813,10.74,7.17,Real Estate,
CromwellReit SGD,CSFU,,,,,,,
CSC,C06,CSCH.SI,53.007,322.351,,,Industrial & Commercial Services,38
CSE Global,544,CSES.SI,271.753,377.746,13.54,5.14,Software & IT Services,70
CWX Global,594,CWXG.SI,15.615,7.289,,,Cyclical Consumer Products,73
