Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
ISEC,40T,ISEC.SI,188.984,40.829,24.7,3.04,Healthcare Services,70
Isetan,I15,ISET.SI,198.825,118.318,,1.04,Retailers,70
ISOTeam,5WF,ISOT.SI,68.608,136.601,10.11,1.75,Industrial & Commercial Services,72
IX Biopharma,42C,IXBI.SI,141.811,0.671,,,,59
Jackspeed,J17,JACK.SI,43.983,44.766,7.82,6.85,Automobiles & Auto Parts,50
Jadason,J03,JADA.SI,26.864,49.253,,,Technology Equipment,35
Japan Foods,5OI,JPFD.SI,74.135,70.924,22.63,4.94,Cyclical Consumer Services,85
Japfa,UD2,JAPF.SI,1016.759,5103.972,11.78,0.93,Food & Beverages,61
Jardine C&C,C07,JCYC.SI,12778.33,25763.471,12.13,3.7,Automobiles & Auto Parts,80
Jason Marine,5PF,JMGL.SI,14.84,29.002,76.92,3.57,Technology Equipment,56
Jasper Inv,FQ7,JASP.SI,21.792,0,,,Energy - Fossil Fuels,36
Jawala,1J7,JAWA.SI,24.91,13.99,9.95,1.9,Applied Resources,
JB Foods,BEW,JBFO.SI,197.268,460.906,5.38,3.08,Food & Beverages,65
JCG Investment,VFP,JCGI.SI,30.768,1.213,,,Mineral Resources,
JEP,1J4,JEPH.SI,75.919,86.916,13.9,,Industrial Goods,
JES Intl,EG0,JSIH.SI,31.673,0,,,Industrial Goods,12
Jiutian Chemical,C8R,JUTN.SI,30.957,238.524,,,Chemicals,37
JMH USD,J36,JARD.SI,43507.141,41372,14.24,2.92,Industrial Conglomerates,
Joyas Intl,E9L,JIHL.SI,1.915,0.438,,,Cyclical Consumer Products,48
JSH USD,J37,JSH.SI,36568.434,33154,7.4,1.05,Industrial Conglomerates,
Jubilee,NHD,JLJH.SI,23.117,163.691,10.12,,Industrial Goods,
Jumbo,42R,JUMB.SI,240.687,152.803,20.81,3.2,Cyclical Consumer Services,69
Karin Tech,K29,KARI.SI,67.683,313.243,12.04,7.48,Technology Equipment,71
Katrina,1A0,KATR.SI,37.043,74.374,,1.63,Cyclical Consumer Services,49
Kencana Agri,BNE,KCAL.SI,28.154,154.339,,,Food & Beverages,56
Keong Hong,5TT,KEHO.SI,109.154,177.576,6.25,5,Industrial & Commercial Services,59
Kep Infra Tr,A7RU,KEPL.SI,2597.083,1316.143,84.01,5.48,Utilities,80.8
KepPacOakReitUSD,CMOU,KPEL.SI,694.946,113.617,16.72,7.72,Real Estate,
Keppel Corp,BN4,KPLM.SI,12546.92,7058.837,19.37,3.33,Industrial Conglomerates,83
Keppel DC Reit,AJBU,KEPE.SI,3112.16,189.89,16.99,3.43,Real Estate,86.7
Keppel Reit,K71U,KASA.SI,4033.347,160.123,32.67,3.92,Real Estate,88.5
Khong Guan,K03,KHON.SI,50.334,61.694,,1.03,Food & Beverages,56
KimHeng Offshore,5G2,KIMH.SI,32.66,54.685,,1.52,Energy - Fossil Fuels,51
Kimly,1D0,KIML.SI,266.291,208.8,13.02,5.39,Cyclical Consumer Services,
King Wan,554,KIWC.SI,33.87,79.889,20.68,,Industrial & Commercial Services,59
KingsmenCreative,5MZ,KMEN.SI,97.945,386.945,13.91,5.15,Industrial & Commercial Services,54
Kitchen Culture,5TI,KCHL.SI,9.597,10.547,,,Retailers,42
KLW,504,KLWH.SI,10.761,26.535,,,Cyclical Consumer Products,10
Koda,BJZ,KODA.SI,51.35,78.843,7.06,1.61,Cyclical Consumer Products,81
Koh Bros,K75,KBRO.SI,96.36,412.148,13.37,2.73,Industrial & Commercial Services,43
Koh Eco,5HV,KBEE.SI,100.634,339.356,16.01,1.69,Industrial & Commercial Services,41
Koon,5DL,KOON.SI,11.05,112.267,,,Industrial & Commercial Services,
KOP,5I1,KOPL.SI,73.126,19.129,,,Cyclical Consumer Services,46
Kori,5VC,KORI.SI,29.264,21.427,87.54,0.34,Industrial & Commercial Services,53
Koufu,VL6,KOUF.SI,416.11,234.258,14.51,3.38,Cyclical Consumer Services,
Koyo Intl,5OC,KOYO.SI,13.533,26.237,20.12,1.45,Industrial & Commercial Services,38
KrisEnergy,SK3,KRIS.SI,45.129,170.433,,,Energy - Fossil Fuels,49
KS Energy,578,KSTL.SI,13.191,33.072,,,Industrial Goods,10
KSH,ER0,KSHH.SI,267.776,226.944,39.46,4.68,Industrial & Commercial Services,60
KTL Global,EB7,KTLG.SI,7.892,34.868,,,Energy - Fossil Fuels,21
KTMG,XCF,KTMG.SI,25.622,35.994,,,Cyclical Consumer Products,
Lafe,AYB,LAFE.SI,16.482,20.085,,,Real Estate,36
Lasseters Intl,5EL,LASS.SI,17.029,,,,Cyclical Consumer Services,48
LCT,BJL,LCTH.SI,19.067,2.484,13.24,,Technology Equipment,33
Leader Env,LS9,LETL.SI,4.945,7.019,,,Industrial & Commercial Services,41
Lendlease Reit,JYEU,,,,,,,
Ley Choon,Q0X,LEYC.SI,21.327,102.836,,,Industrial & Commercial Services,56
LHN,41O,LHNL.SI,45.879,108.165,6.74,,Real Estate,77
LHT,BEI,LHTH.SI,26.889,39.814,14.65,5.94,Applied Resources,63
Lian Beng,L03,LIBG.SI,264.88,450.579,7.51,4.5,Industrial & Commercial Services,62
Libra,5TR,LIGL.SI,7.527,93.762,,,Industrial & Commercial Services,63
LifeBrandz,1D3,LIFE.SI,2.683,5.573,,,Cyclical Consumer Services,48
Linc Energy,BRE,LINC.SI,15.681,66.457,,,Energy - Fossil Fuels,56
Lion Asiapac,BAZ,LIAS.SI,37.308,32.533,,1.09,Mineral Resources,50
LionGold,A78,LION.SI,8.698,68.235,,,Mineral Resources,42
Lippo Malls Tr,D5IU,LMRT.SI,709.251,262.706,18.55,7.63,Real Estate,68.9
Lonza,O6Z,LONN.S,24522.561,5439,38.13,0.84,,
Lorenzo Intl,5IE,LRZI.SI,7.03,29.15,,,Retailers,21
Low Keng Huat,F1E,LKH.SI,321.385,35.383,46.23,3.45,Industrial & Commercial Services,34
Lum Chang,L19,LUCS.SI,128.985,240.251,5.49,5.37,Industrial & Commercial Services,69
Lung Kee Bermuda,L09,0255.HK,1692.895,2335.279,14.49,8.58,Industrial Goods,
Luxking,BKK,LUKG.SI,4.94,73.254,,,Chemicals,35
Luzhou Bio-Chem,L46,LUZH.SI,7.138,418.93,,,Food & Beverages,60
LY Corp,1H8,LYCO.SI,93.051,71.685,30.87,2.16,Cyclical Consumer Products,
M Development,N14,MDVT.SI,3.843,1.672,,,Mineral Resources,25
Magnus Energy,41S,MAGN.SI,12.633,17.573,,,Energy - Fossil Fuels,49
Man Oriental USD,M04,MOIL.SI,2058.955,585.4,223.9,1.84,Cyclical Consumer Services,
Manhattan Res,L02,MANH.SI,44.342,21.035,2.53,,Transportation,35
ManulifeReit USD,BTOU,MANU.SI,1479.16,169.572,24.81,5.61,Real Estate,64.2
Mapletree Com Tr,N2IU,MACT.SI,7363.715,449.611,7.27,3.38,Real Estate,81.8
Mapletree Ind Tr,ME8U,MAPI.SI,5391.834,393.84,17.15,4.18,Real Estate,77.5
Mapletree Log Tr,M44U,MAPL.SI,6109.365,483.735,12.82,,Real Estate,81.6
Mapletree NAC Tr,RW0U,MAPE.SI,3889.193,420.059,6.05,6.18,Real Estate,78
MarcoPolo Marine,5LY,MAPM.SI,77.54,27.008,,,Transportation,42
Maruwa Yen1k,M12,5344.T,94645.797,42079.852,14.74,0.65,Technology Equipment,
Mary Chia,5OX,MARY.SI,12.262,8.872,,,Personal & Household Products & Services,45
Matex Intl,M15,MATE.SI,2.674,37.791,,,Chemicals,48
Maxi-Cash Fin,5UF,MAXI.SI,133.548,188.252,12.48,8.91,Retailers,62
MDR,A27,MDRT.SI,130.869,276.195,28.57,2.33,Retailers,77
Medinex,OTX,MEDN.SI,32.802,10.523,34.58,5.04,Industrial & Commercial Services,
Medtecs Intl,546,MTCS.SI,24.747,93.285,19.23,,Healthcare Services,50
MegaChem,5DS,MEGA.SI,42.697,114.631,11.41,4.06,Chemicals,75
MeGroup,SJY,MEGR.SI,24.322,80.069,64.74,,Automobiles & Auto Parts,
Memories,1H4,MEMO.SI,32.672,13.75,43.43,,Cyclical Consumer Services,
Memstar Tech,5MS,MEMS.SI,3.157,0,,,Chemicals,32
Mencast,5NF,MCHL.SI,41.213,78.885,,,Energy - Fossil Fuels,61
Mercurius,5RF,MERC.SI,61.271,0,,,Cyclical Consumer Products,35
Mermaid Maritime,DU4,MMPC.SI,142.883,144.163,,,Energy - Fossil Fuels,60
Metal Component,5DX,META.SI,7.857,46.231,,,Mineral Resources,49
Metech Intl,V3M,METE.SI,15.906,86.529,,,Industrial & Commercial Services,
Metro,M01,MTHL.SI,781.656,197.722,9.09,2.13,Retailers,74
Mewah Intl,MV4,MEWI.SI,368.015,3795.218,22.2,3.71,Food & Beverages,54
MFG Integration,M11,MITD.SI,21.13,16.948,0.46,213.64,Technology Equipment,50
Micro-Mechanics,5DD,MMEC.SI,247.477,60.331,19.11,5.06,Industrial Goods,97
Midas,5EN,MIDA.SI,366.439,,,,Mineral Resources,9
MindChamps,CNE,MIND.SI,129.256,52.211,27.45,2.5,Personal & Household Products & Services,
Mirach Energy,AWO,MIEL.SI,53.322,7.003,30.46,,Food & Beverages,37
Miyoshi,M03,MIYO.SI,21.443,24.996,,5.71,Technology Equipment,82
MM2 Asia,1B0,MM2A.SI,331.399,266.187,17.31,,Cyclical Consumer Services,54
MMP Resources,F3V,MMPR.SI,7.031,0.251,,,Industrial & Commercial Services,50
MoneyMax Fin,5WJ,MFSL.SI,53.424,160.444,12.5,3.31,Retailers,46
Moya Asia,5WE,MOYA.SI,298.455,191.371,23.59,,Industrial & Commercial Services,53
MS Hldgs,40U,MSHO.SI,9.118,14.46,117.02,,Industrial & Commercial Services,68
MSC,NPW,MSCB.KL,344,1193.664,7.94,2.33,Mineral Resources,
MSM Intl,5QR,MSML.SI,3.06,27.045,275.89,,Industrial Goods,59
MTQ,M05,MTLS.SI,50.837,114.152,16.51,,Energy - Fossil Fuels,77
Multi-Chem,AWZ,MCHE.SI,69.373,434.344,7.96,5.73,Technology Equipment,63
Mun Siong Engg,MF6,MSEL.SI,23.843,60.998,,0.73,Industrial & Commercial Services,62
Murata Yen1k,PJX,,,,,,,
MYP,F86,MYPL.SI,191.096,22.118,,,Transportation,47
Nam Cheong,N4E,NMCG.SI,50.118,98.254,0.12,,Industrial Goods,51
Nam Lee Metal,G0I,NLPM.SI,94.592,145.879,8.27,3.85,Cyclical Consumer Products,59
Natural Cool,5IF,NCHL.SI,13.524,137.927,11.74,,Industrial Goods,16
NauticAWT,42D,NAUT.SI,2.125,8.749,,,Energy - Fossil Fuels,45
Neo,5UJ,NEOG.SI,63.361,191.466,7.95,1.16,Cyclical Consumer Services,66
NeraTel,N01,NERA.SI,95.903,143.128,18.58,7.55,Technology Equipment,70
Net Pacific Fin,5QY,NPFH.SI,13.147,0.369,,,Banking & Investment Services,54
NetLink NBN Tr,CJLU,NETL.SI,3682.638,362.988,43.95,5.25,Telecommunications Services,
New Silkroutes,BMT,NEWS.SI,47.725,823.978,,,Healthcare Services,39
New Toyo,N08,NTYO.SI,65.914,293.822,,10,Applied Resources,62
New Wave,5FX,NEWW.SI,12.092,17.202,,,Mineral Resources,42
NGSC,B07,NGSC.SI,6.449,0,1.61,,Telecommunications Services,53
Nico Steel,5GF,NICO.SI,14.901,19.321,,,Mineral Resources,47
Nippecraft,N32,NIPP.SI,9.145,162.776,,,Industrial & Commercial Services,54
No Signboard,1G6,NOSI.SI,28.206,27.184,,,Cyclical Consumer Services,
Noble,CGP,NOBG.SI,107.629,6737.447,,,Industrial & Commercial Services,8
Noel Gifts Intl,543,NOEL.SI,24.184,22.055,,0.42,Retailers,38
Nomura Yen1k,N33,8604.T,1816303.25,2041035,17.61,3.46,Banking & Investment Services,
Nordic,MR7,NRGL.SI,112,83.454,14.05,2.79,Industrial Goods,46
NSL,N02,NATS.SI,362.352,294.507,,5.15,Mineral Resources,23
Ntegrator Intl,5HC,NTOR.SI,7.458,32.195,10.61,,Software & IT Services,53
NutryFarm,AZT,NUTR.SI,8.007,8.125,,,Software & IT Services,41
OCBC Bank,O39,OCBC.SI,49244,12138.278,10.64,4.3,Banking & Investment Services,108
Ocean Sky Intl,1B6,OCEA.SI,19.376,20.559,,,Industrial & Commercial Services,64
Oceanus,579,OCGL.SI,97.325,5.925,12.19,,Food & Beverages,28
OEL,584,OELH.SI,2.005,0.361,,,Industrial & Commercial Services,27
OKH Global,S3N,OKHG.SI,22.573,16.44,,,Industrial & Commercial Services,45
OKP,5CF,OKPH.SI,61.686,78.594,12.63,3.5,Industrial & Commercial Services,66
Olam Intl,O32,OLAM.SI,5953.254,32698.389,21.68,4.12,Food & Beverages,102
Old Chang Kee,5ML,OCKL.SI,91.638,89.142,24.9,3.97,Cyclical Consumer Services,52
Olive Tree,1H2,OLIV.SI,4.269,3.625,,,Real Estate,45
OneApex,5SY,ONEA.SI,13.097,3.983,,64.52,Real Estate,62
Ossia Intl,O08,OSSA.SI,26.526,23.161,6.93,7.33,Retailers,26
OUE,LJ3,OVES.SI,1423.323,779.213,25.42,1.38,Real Estate,62
OUE Com Reit,TS0U,OUEC.SI,2877.244,196.461,13.25,5.04,Real Estate,69.7
OUE Lippo HC,5WA,OUEL.SI,253.258,19.022,,,Healthcare Services,37
Ouhua Energy,AJ2,OUEH.SI,3.838,587.097,,,Energy - Fossil Fuels,62
Overseas Edu,RQ1,OVER.SI,122.532,81.571,17.82,9.32,Personal & Household Products & Services,71
Oxley,5UX,OXHL.SI,1416.115,686.068,9.96,2.94,Real Estate,49
P5 Capital,5AI,P5CA.SI,18.398,10.331,,,Industrial Goods,54
Pacific Andes,P11,PACF.SI,183.91,1121.929,,,Food & Beverages,50
Pacific Century,P15,PCEN.SI,1006.901,17.318,23.47,5.79,Holding Companies,57
Pacific Radiance,T8V,PACI.SI,75.617,94.51,,,Energy - Fossil Fuels,41
Pacific Star Dev,1C5,PACS.SI,55.257,4.519,,,Real Estate,45
Pan Asian,5EW,PANA.SI,4.712,27.916,40.74,,Utilities,34
Pan Hong,P36,PANH.SI,59.725,155.928,1.87,8.7,Real Estate,42
Pan Ocean,AZY,PANOx.SI,2813.977,3027.643,16.2,,Transportation,27
PanUnited,P52,PANU.SI,242.189,837.042,16.21,2.61,Mineral Resources,61
Parkson Retail,O9E,PRAL.SI,7.45,398.544,,,Retailers,56
ParkwayLife Reit,C2PU,PWLR.SI,1911.806,115.752,12.55,3.66,Real Estate,74.5
Pavillon,596,PAVI.SI,9.694,13.786,,,Cyclical Consumer Services,29
PEC,IX2,PECL.SI,147.036,376.351,13.52,3.48,Energy - Fossil Fuels,40
Penguin Intl,BTM,PGUN.SI,158.522,129.51,9.73,0.63,Transportation,44
Perennial Hldgs,40S,PERE.SI,957.458,114.126,,0.7,Real Estate,101
Pharmesis Intl,BFK,PHAR.SI,2.856,9.353,,,,34
Pine Cap,ADJ,PINC.SI,6.643,2.141,,,Banking & Investment Services,47
Plastoform,AYD,PFML.SI,0.527,3.344,,,Technology Equipment,42
Plato Capital,5PI,PLAT.SI,16.55,1.04,,,Software & IT Services,36
PNE Industries,BDA,PNEI.SI,68.392,99.916,7.99,6.13,Industrial Goods,39
Polaris,5BI,POLA.SI,17.053,37.579,,,Telecommunications Services,25
Pollux Prop,5AE,PLPS.SI,140.733,,,,Real Estate,26
POSH,U6C,PACC.SI,400.783,374.588,,,Energy - Fossil Fuels,64
Powermatic Data,BCY,PMDS.SI,90.581,26.504,8.79,1.98,Technology Equipment,35
Prime US ReitUSD,OXMU,PRIE.SI,888.004,,,,Collective Investments,
Procurri,BVQ,PROC.SI,105.335,216.653,18.03,,Software & IT Services,60
Progen,583,POGN.SI,8.982,3.411,,,Industrial & Commercial Services,40
PropNex,OYY,PROP.SI,199.991,373.478,13.55,3.7,Real Estate,
Prudential USD,K6S,PRU.L,35060.996,51432,19.55,,Insurance,
PSL,BLL,PSLL.SI,5.235,2.072,,,Industrial & Commercial Services,36
Q&M Dental,QC7,QMDT.SI,406.468,122.06,29.99,1.62,Healthcare Services,52
QAF,Q01,QAFS.SI,460.215,852.897,50.09,6.25,Food & Beverages,55
Qian Hu,BCV,QIAN.SI,17.029,77.979,27.42,1.33,Food & Beverages,91
QT Vascular,5I0,QTVA.SI,6.712,12.726,,,Healthcare Services,57
Raffles Edu,NR7,RLSE.SI,119.593,97.854,2.81,,Industrial & Commercial Services,53
Raffles Infrastructure,LUY,RAFL.SI,20.757,36.75,2.77,,Industrial & Commercial Services,
Raffles Medical,BSL,RAFG.SI,1819.117,513.475,28.32,2.51,Healthcare Services,62
Raffles United,K22,RAFF.SI,26.077,58.511,4.89,,Industrial Goods,72
RE&S Hldg,1G1,RESH.SI,60.18,142.72,13.9,2.65,Cyclical Consumer Services,
Reclaims Global,NEX,RECL.SI,34.06,33.64,38.4,,Industrial & Commercial Services,
Reenova Investment,5EC,REEN.SI,13.222,0.399,,,Banking & Investment Services,29
Regal Intl,UV1,REGI.SI,3.603,14.352,,,Real Estate,33
Renaissance United,I11,RENA.SI,12.362,62.995,,,Technology Equipment,26
Renewable Energy,5DW,REAG.SI,15.711,3.564,,,Industrial Goods,51
Resources Prima,5MM,RESO.SI,47.214,0.812,,,Energy - Fossil Fuels,61
Revez,RCU,REVE.SI,46.062,2.761,,,Software & IT Services,
Rex Intl,5WH,REXI.SI,244.274,0.251,6.28,,Energy - Fossil Fuels,69
RH PetroGas,T13,RHPG.SI,24.254,86.417,9.47,,Energy - Fossil Fuels,40
RHT HealthTrust,RF1U,RHTH.SI,14.605,-22.206,,238.89,Real Estate,46.2
Rich Capital,5G4,RICH.SI,22.028,0,,,Mineral Resources,37
Riverstone,AP4,RVHL.SI,721.058,325.254,16.68,2.37,Healthcare Services,77
Roxy-Pacific,E8Z,RXYP.SI,505.468,189.492,29.43,2.34,Real Estate,72
Ryobi Kiso,BDN,RKHL.SI,39.806,146.908,,,Industrial & Commercial Services,66
Sabana Reit,M1GU,SABA.SI,473.888,76.917,26,5.32,Real Estate,22.3
Sakae,5DO,SAKA.SI,11.36,46.909,3.15,,Cyclical Consumer Services,19
Samko Timber,E6R,SAMT.SI,45.235,429.308,16.31,,Applied Resources,33
SamuderaShipping,S56,SAMU.SI,79.328,560.399,6.48,5.1,Transportation,76
Samurai,1C3,SAMR.SI,88.044,,,0.63,Chemicals,
San Teh,S46,SANS.SI,95.546,15.959,,1.09,Cyclical Consumer Products,30
Sanli Env,1E3,SANL.SI,24.985,71.35,11.26,2.69,Industrial & Commercial Services,
Santak,580,SATK.SI,8.606,14.122,,,Industrial Goods,43
Sapphire,BRD,SAPP.SI,21.633,360.059,6.82,1.89,Industrial & Commercial Services,54
Sarine Tech,U77,SARI.SI,136.294,63.196,,4.89,Industrial Goods,42
Sasseur Reit,CRPU,SASS.SI,973.14,163.588,4.91,7.89,Real Estate,
SATS,S58,SATS.SI,5721.446,1853.719,23.72,3.73,Transportation,114
SBI Offshore,5PL,SBIO.SI,14.995,0.04,,,Energy - Fossil Fuels,19
SBS Transit,S61,SBVV.SI,1263.052,1419.808,14.23,3.52,Transportation,84
Second Chance,528,SECD.SI,166.107,30.764,34.98,2.16,Retailers,61
Secura,43B,SECU.SI,19.2,39.454,20.69,6.25,Software & IT Services,58
Sembcorp Ind,U96,SCIL.SI,4093.484,10439.476,10.84,1.75,Utilities,113
Sembcorp Marine,S51,SCMN.SI,2801.812,3622.223,,1.49,Industrial Goods,82
Sen Yue,5BS,SENY.SI,30.25,242.641,,,Mineral Resources,53
Serial System,S69,SERL.SI,68.906,1558.607,3.16,8.95,Industrial Goods,49
Seroja Inv,IW5,SERO.SI,29.698,51.929,18.25,,Transportation,47
Serrano,40R,SERR.SI,162.554,3.864,,,Industrial & Commercial Services,15
SEVAK,BAI,SEVA.SI,35.925,269.579,25.46,,Retailers,51
SGX,S68,SGXL.SI,9548.334,948.542,23.1,3.37,Banking & Investment Services,118
Shanghai Turbo,AWM,SHTU.SI,27.507,4.249,,,Industrial Goods,19
Shangri-La HKD,S07,0069.HK,29988.779,19863.063,24.61,2.63,Cyclical Consumer Services,
Sheng Siong,OV8,SHEN.SI,1819.28,965.22,23.98,2.89,Food & Drug Retailing,51
Shinvest,BJW,SHIN.SI,74.165,43.441,,3.02,Technology Equipment,26
Shopper360,1F0,SHOP.SI,14.317,52.978,8.39,2.24,Cyclical Consumer Services,
SHS,566,SEEH.SI,120.806,35.082,,,Industrial & Commercial Services,55
SIA,C6L,SIAL.SI,11110.62,16741.1,15.93,3.24,Transportation,98
SIA Engineering,S59,SIAE.SI,3214.973,1024.596,18.87,3.85,Transportation,88
SIIC Environment,BHK,SIIC.SI,677.689,1046.548,5.97,7.69,Utilities,55
Silkroad Nickel,STP,SILK.SI,22.264,8.134,,,Mineral Resources,
Silverlake Axis,5CP,SLVX.SI,1201.396,223.602,14.62,4.04,Software & IT Services,79
Sim Leisure,URR,SIMI.SI,26.743,7.004,40.2,,Cyclical Consumer Services,
Sin Ghee Huat,B7K,SGHC.SI,47.73,49.856,19.93,2.79,Mineral Resources,61
Sin Heng Mach,BKA,SIHM.SI,30.446,86.678,,,Industrial Goods,53
Sinarmas Land,A26,SINA.SI,1069.09,1040.821,2.49,6.38,Real Estate,58
Sincap,5UN,SINC.SI,8.517,53.785,22.4,,Energy - Fossil Fuels,41
Sing Inv & Fin,S35,SINV.SI,225.405,84.486,10.67,4.9,Banking & Investment Services,92
Singapore O&G,1D8,SINP.SI,164.497,36.498,21.23,4.41,Healthcare Services,77
Singapore-eDev,40V,SINE.SI,53.996,40.409,,,Real Estate,73
SingaporeKitchen,5WG,SING.SI,17.05,31.916,,4.55,Cyclical Consumer Products,54
SingHaiyi,5H0,SIHL.SI,401.371,38.59,427.27,1.6,Real Estate,70
SingHoldings,5IC,SHDS.SI,154.383,144.704,6.55,2.6,Real Estate,50
SingMedical,5OT,SMGL.SI,156.982,88.888,12.29,,Healthcare Services,53
SingMyanmar,Y45,SINO.SI,21.23,32.248,,,Transportation,42
SingPost,S08,SPOS.SI,2115.833,1560.489,,3.76,Transportation,88
SingReinsurance,S49,SPRS.SI,175.514,118.461,12.91,4.48,Insurance,52
SingShipping,S19,SSHP.SI,126.857,64.624,8.99,3.45,Industrial Goods,63
SingTel,Z74,STEL.SI,54702.68,17350.801,19.53,5.22,Telecommunications Services,129
SingTel 10,Z77,,,,,,,
Sinjia Land,5HH,SINJ.SI,4.033,0.596,,,Cyclical Consumer Services,58
Sino Grandness,T4B,SOGF.SI,49.494,626.707,4.82,,Food & Beverages,49
Sino Techfibre,AD8,SNTH.SI,91.22,146.788,,,Cyclical Consumer Products,24
SinoCloud,5EK,SINL.SI,14.318,8.855,,,Software & IT Services,37
Sinopipe,X06,SPHL.SI,40.206,0,,,Cyclical Consumer Products,36
Sinostar Pec,C9Q,SNSR.SI,115.363,610.168,8.82,2.78,Energy - Fossil Fuels,59
Sitra,5LE,SITR.SI,15.968,17.118,,,Applied Resources,46
SK Jewellery,42G,SKJE.SI,53.438,197.481,9.45,5.26,Cyclical Consumer Products,54
SLB Dev,1J0,SLBD.SI,109.56,32.351,,,Real Estate,
Soilbuild Const,S7P,SOIL.SI,37.687,249.28,,,Industrial & Commercial Services,77
SoilbuildBizReit,SV3U,SBSR.SI,610.883,92.025,10.63,,Real Estate,74.4
Soon Lian,5MD,SNLN.SI,5.616,32.394,9.32,,Mineral Resources,42
Soup Restaurant,5KI,SRGL.SI,44.775,44.355,24.04,4.33,Cyclical Consumer Services,50
Southern Pkg,BQP,SOUT.SI,28.167,136.93,,0.9,Applied Resources,43
SP Corp,AWE,SPPS.SI,17.55,104.345,6.96,,Industrial & Commercial Services,69
Spackman,40E,SPAC.SI,19.308,22.336,,,Cyclical Consumer Services,58
SPH,T39,SPRM.SI,3729.512,959.255,17.25,4.72,Cyclical Consumer Services,108
SPHREIT,SK6U,SPHR.SI,2884.32,228.635,19.18,4.19,Real Estate,83.2
Spindex Ind,564,SNEX.SI,113.058,153.591,7.84,3.37,Industrial Goods,50
Spura Finance,S23,SBDS.SI,141.23,29.451,13.74,2.25,Banking & Investment Services,73
Sri Trang Agro,NC2,,,,,,,61
ST Engineering,S63,STEG.SI,13020.805,6911.58,24.76,3.6,Industrial Goods,101
ST Group Food,DRX,STGR.SI,66.396,48.575,31.15,,Cyclical Consumer Services,
Stamford Land,H07,SFLD.SI,427.724,223.338,11.81,2.02,Cyclical Consumer Services,60
Stamford Tyres,S29,STAS.SI,51.961,231.286,107.32,4.55,Automobiles & Auto Parts,66
Star Pharm,AYL,SRPT.SI,20.867,68.061,,,,55
Starburst,40D,STAB.SI,94.478,7.605,,0.67,Industrial & Commercial Services,54
StarhillGbl Reit,P40U,STHL.SI,1594.329,202.147,25.61,5.12,Real Estate,85.7
StarHub,CC3,STAR.SI,2528.211,2341.7,15.47,7.36,Telecommunications Services,100
Starland,5UA,STHO.SI,18.697,14.248,58.1,3.88,Real Estate,69
Straco,S85,STRA.SI,625.629,121.822,13.81,3.47,Cyclical Consumer Services,47
Straits Trading,S20,STCM.SI,861.082,432.172,12.19,2.84,Mineral Resources,53
StratechGroup,BRR,STRT.SI,10.264,5.513,,,Software & IT Services,
SunMoonFood,AAJ,SMFC.SI,49.432,62.033,,,Food & Beverages,50
Sunningdale Tech,BHQ,SUND.SI,238.309,690.634,15.25,6.4,Industrial Conglomerates,57
Sunpower,5GD,SUNP.SI,414.162,683.014,8.53,0.36,Industrial Goods,47
Sunright,S71,SNRT.SI,55.877,133.636,,0.66,Technology Equipment,37
Sunrise Shares,581,SUNR.SI,4.637,2.764,5.35,,Real Estate,29
Suntar Eco-City,BKZ,SECL.SI,18.855,4.578,,,,33
Suntec Reit,T82U,SUNT.SI,5097.849,363.465,16.83,4.65,Real Estate,66.6
SunVic Chemical,A7S,SVCH.SI,11.757,155.26,,,Chemicals,56
SUTL Enterprise,BHU,SUTL.SI,46.689,20.298,8.24,3.7,Cyclical Consumer Services,57
Swee Hong,QF6,SWEE.SI,9.696,25.685,,,Industrial & Commercial Services,18
Swiber,BGK,SWBR.SI,50.549,1170.463,,,Energy - Fossil Fuels,35
Swing Media Tech,BEV,SWMT.SI,25.787,197.876,,,Technology Equipment,50
Swissco Hldg,ADP,SWCO.SI,36.244,48.172,,,Energy - Fossil Fuels,22
Synagie,V2Y,SYNA.SI,34.684,18.183,,,Telecommunications Services,
Sysma,5UO,SYSM.SI,45.675,30.328,40.05,4.57,Industrial & Commercial Services,59
TA,PA3,TACO.SI,83.927,148.408,,6.17,Real Estate,74
Tai Sin Electric,500,TAIS.SI,147.208,335.706,12.59,6.82,Industrial Goods,74
TalkMed,5G3,TALK.SI,676.968,70.626,20.59,4.01,Healthcare Services,62
Tat Seng Pkg,T12,TASE.SI,79.386,311.68,5.37,5.94,Applied Resources,50
TCIL HK$,T15,0693.HK,4207.816,14863.885,11.99,5.5,Retailers,
Tech Oil & Gas,5CQ,TECH.SI,16.789,65.026,,,Energy - Fossil Fuels,24
Teckwah,561,TECK.SI,105.098,159.836,15.21,3.33,Industrial & Commercial Services,55
TEE Intl,M1Z,TEEI.SI,30.463,420.488,,,Industrial & Commercial Services,82
TEE Land,S9B,TEEL.SI,57.647,87.03,,3.1,Real Estate,79
Teho Intl,5OQ,TEHO.SI,4.708,54.383,,,Industrial Goods,75
TeleChoice Intl,T41,TCIN.SI,90.43,404.042,22.67,8.04,Technology Equipment,71
ThaiBev,Y92,TBEV.SI,22623.775,11714.41,21.72,1.87,Food & Beverages,63
Thakral,AWI,THAK.SI,64.122,123.485,7.97,8.16,Technology Equipment,52
The Place Hldg,E27,THEP.SI,117.613,1.894,,,Technology Equipment,52
